time,gpu-id,gpu_util_percent,mem_util_percent,mem_util_MB,mem_free_MB,mem_total_MB,phase,epoch,step
1768162500.2917721,0,93,97,10508.4375,4851.5625,15360.0,train,0,87
1768162500.3946218,0,88,43,10508.4375,4851.5625,15360.0,train_idle,0,88
1768162500.4966433,0,88,43,10508.4375,4851.5625,15360.0,train_idle,0,88
1768162500.598719,0,2,3,10508.4375,4851.5625,15360.0,train_idle,0,88
1768162500.7006855,0,2,3,10508.4375,4851.5625,15360.0,train_idle,0,88
1768162500.8029292,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,88
1768162500.9051244,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,88
1768162501.007756,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,88
1768162501.1099148,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,88
1768162501.2119818,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,88
1768162501.3141363,0,0,0,10508.4375,4851.5625,15360.0,train,0,88
1768162501.416341,0,8,2,10508.4375,4851.5625,15360.0,train,0,88
1768162501.5184598,0,64,21,10508.4375,4851.5625,15360.0,train,0,88
1768162501.6213927,0,64,21,10508.4375,4851.5625,15360.0,train,0,88
1768162501.7241614,0,100,28,10508.4375,4851.5625,15360.0,train,0,88
1768162501.8274593,0,100,28,10508.4375,4851.5625,15360.0,train,0,88
1768162501.930405,0,100,28,10508.4375,4851.5625,15360.0,train,0,88
1768162502.033682,0,100,28,10508.4375,4851.5625,15360.0,train,0,88
1768162502.1377738,0,94,78,10508.4375,4851.5625,15360.0,train,0,88
1768162502.2415469,0,94,78,10508.4375,4851.5625,15360.0,train,0,88
1768162502.343546,0,95,57,10508.4375,4851.5625,15360.0,train,0,88
1768162502.445888,0,95,57,10508.4375,4851.5625,15360.0,train,0,89
1768162502.548839,0,41,23,10508.4375,4851.5625,15360.0,train,0,89
1768162502.6510935,0,41,23,10508.4375,4851.5625,15360.0,train,0,89
1768162502.7537098,0,95,29,10508.4375,4851.5625,15360.0,train,0,89
1768162502.8569849,0,95,29,10508.4375,4851.5625,15360.0,train,0,89
1768162502.9603865,0,100,28,10508.4375,4851.5625,15360.0,train,0,89
1768162503.0643086,0,100,28,10508.4375,4851.5625,15360.0,train,0,89
1768162503.1671574,0,100,37,10508.4375,4851.5625,15360.0,train,0,89
1768162503.2710993,0,100,37,10508.4375,4851.5625,15360.0,train,0,89
1768162503.3741655,0,93,94,10508.4375,4851.5625,15360.0,train,0,89
1768162503.4772897,0,93,94,10508.4375,4851.5625,15360.0,train,0,89
1768162503.5795884,0,76,38,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162503.6817117,0,76,38,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162503.7842622,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162503.8863034,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162503.9907103,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162504.0930283,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162504.1973567,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162504.3003278,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162504.402146,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162504.5043008,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162504.6144488,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162504.7208529,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162504.828977,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162504.9322543,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162505.0358715,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162505.1399946,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162505.2422693,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162505.344468,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162505.4474373,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162505.5508678,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162505.656878,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162505.7628825,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162505.8686934,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162505.9761236,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162506.080732,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162506.1827464,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162506.2853072,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162506.3893104,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162506.4924207,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162506.5972495,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162506.7012124,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162506.8049958,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162506.9085364,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162507.01212,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162507.1145263,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162507.2177112,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162507.3201334,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162507.4228685,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162507.5259311,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162507.632535,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162507.7368495,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162507.8406749,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162507.9492707,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162508.0532377,0,0,0,10508.4375,4851.5625,15360.0,train_idle,0,90
1768162508.1576955,0,0,0,10508.4375,4851.5625,15360.0,validation,0,90
1768162508.2611508,0,0,0,10508.4375,4851.5625,15360.0,validation,0,90
1768162508.36441,0,0,0,10508.4375,4851.5625,15360.0,validation,0,90
1768162508.4679573,0,0,0,10508.4375,4851.5625,15360.0,validation,0,90
1768162508.5752008,0,0,0,10508.4375,4851.5625,15360.0,validation,0,90
1768162508.6774666,0,0,0,10508.4375,4851.5625,15360.0,validation,0,90
1768162508.7798424,0,0,0,10508.4375,4851.5625,15360.0,validation,0,90
1768162508.8820186,0,0,0,10508.4375,4851.5625,15360.0,validation,0,90
1768162508.9844112,0,0,0,10508.4375,4851.5625,15360.0,validation,0,90
1768162509.0865312,0,0,0,10508.4375,4851.5625,15360.0,validation,0,90
1768162509.1886294,0,0,0,10508.4375,4851.5625,15360.0,validation,0,90
